"","genes","module","cox21.pvalue","cox21.estimate","cox36.pvalue","cox36.estimate","connect21.kwithin","connect36.kwithin"
"1","A1CF","grey",0.114960214895062,-0.0371600342631127,0.321459567725815,-0.0292800057843305,0.00199294609120492,0.000670599367109214
"2","A2BP1","yellow",0.0373696246238824,0.111433883839586,0.0398303779088598,0.170170545488355,1.1935624487022,0.609467505862574
"3","A2LD1","turquoise",0.310390082949169,0.0473751884382372,0.305798385339099,0.109347668838029,243.406103658436,30.7412450914937
"4","A2M","green",0.967606882880365,0.001570794499073,0.562024167570145,0.0210714704930163,0.721563973277509,0.00302256328276139
"5","A2ML1","green",0.871007915052692,0.0135731768144512,0.153934282859239,-0.165092718858564,0.624121357393073,0.134935617848591
"6","A4GALT","turquoise",0.57097399172318,-0.0237125065884769,0.822538342310917,-0.0163481659228937,24.477293132306,6.49383317759666
"7","A4GNT","turquoise",0.854134664455605,0.0100053420812881,0.162344746640972,-0.11491936766212,12.064694230441,0.946155398964662
"8","AAA1","grey",0.281087996959378,-0.0426687318679803,0.451512296900331,-0.0348418727026659,0.0260578771369782,0.00532439421614841
"9","AAAS","brown",0.50943413545691,-0.0401726677544272,0.146216595114891,0.139380689366643,0.248051190153346,0.258468362294677
"10","AACS","turquoise",0.0568119963458176,-0.0880086434875669,0.320798320881885,0.08316116234542,67.4554805515907,4.20615671628926
"11","AACSL","red",0.588449571123197,0.0523347277372217,0.393993626291922,0.117672519856439,0.00273718443161531,0.000182144982429256
"12","AADAC","black",0.0855369405461695,-0.10250538168242,0.00891554030818094,-0.242673328430828,0.783760773979566,0.0414518252681999
"13","AADACL2","grey",0.0791411999478079,-0.0980017953703938,0.0868348510389522,-0.0967359873018093,0.0173190216867649,0.000922329425905975
"14","AADACL3","grey",0.525659634735117,-0.0139316841904405,0.551930331459456,0.0128793891081667,0.0154873443775605,0.00140479365420275
"15","AADACL4","turquoise",0.873323034261193,-0.0130850881132136,0.391843724526041,-0.0893948016682937,2.90563716466535,0.158878704273066
"16","AADAT","yellow",0.0349359728043969,0.112707672431079,0.00945715311434778,0.205969572324463,20.2092064433555,10.5694349627436
"17","AAGAB","blue",0.0308440249843992,0.161286082645996,0.414724595292673,-0.0906945813726917,1.95253460653353,5.2627173052434
"18","IQCH","grey",0.798928888757484,0.0109339115944208,0.622260756823742,0.0304830882182703,0.00674032040071049,0.000711463872545955
"19","AAK1","blue",0.606575223581117,0.0489657365839743,0.851568560138809,-0.0311113315489484,10.3505416613908,10.2945652422589
"20","SNORA36C","grey",0.453078668139473,-0.0183389119624979,0.478020857642248,-0.0223103948949636,0.0104003895432734,0.000758849900556057
"21","AAMP","brown",0.699721850776576,-0.0251071927137393,0.802518198349761,-0.0261258356303391,7.41163295699473,2.06432796350512
